Id,AccountId,Email,Title,CreatedDate,IsDeleted
003_849z3q1832r2g0,001_z3ukkf7z89kadm,32r2g0@example.com,Finance Manager,2023-05-27,False
003_0yh3k6n2bf0i5o,001_anxcfu5zxaoxwl,bf0i5o@example.com,Director,2024-01-26,False
003_mn191qwr6bcwe3,001_hfw8texddr780z,6bcwe3@example.com,Director,2024-01-18,False
003_z51gy0a6i40684,001_71l61rww6d5rtj,i40684@example.com,Engineer,2024-09-02,False
003_gk8sfuq63rswza,001_a0xb3z8509h1ax,3rswza@example.com,Director,2024-10-17,False
003_6gdif0mvenbhch,001_g5hrz4a0ch5zv9,enbhch@example.com,Finance Manager,2023-10-27,False
003_3f3f8sx6eanbt8,001_icu6rnc6vx5u1c,eanbt8@example.com,VP Ops,2023-01-15,False
003_86es4aujqgnibo,001_icu6rnc6vx5u1c,qgnibo@example.com,Director,2023-02-25,False
003_r9z5jmgaykcxfk,001_oq48ws7o9n9dib,ykcxfk@example.com,Engineer,2023-03-15,False
003_0dfmrt3ojs1jcr,001_afer1ql1z5kcdi,js1jcr@example.com,VP Ops,2023-10-14,False
003_dv6jcp2zkfx8pk,001_pd0oidd9ynoi9r,kfx8pk@example.com,Analyst,2025-04-10,False
003_2v6y0ttnj282r1,001_vn9scj4rf2rl9f,j282r1@example.com,Head of Data,2024-09-12,False
003_0sxz9l57swrq2g,001_wq7aazsm43hnxu,swrq2g@example.com,Director,2024-05-23,False
003_6x4kjsgohzjrca,001_efh6o05vany2su,hzjrca@example.com,VP Ops,2025-08-10,False
003_a8vkw47qsugv4k,001_afer1ql1z5kcdi,sugv4k@example.com,CTO,2025-11-08,False
003_d4cze5lsqyzbe8,001_dbszfh2xyp3kwl,qyzbe8@example.com,Head of Data,2025-07-05,False
003_491o7u4k5bhzjr,001_515utoyizzl4kw,5bhzjr@example.com,Product Lead,2023-05-20,False
003_q5u4xtspwa7bhc,001_26wfgoxnb3hp2l,wa7bhc@example.com,Engineer,2023-09-21,False
003_mue54xprstnrai,001_g1i3qbj7wujl72,stnrai@example.com,Product Lead,2025-04-08,False
003_tg9x2fmgzloy07,001_7wj1enbqka0gb5,zloy07@example.com,VP Ops,2025-03-16,False
003_zumgpo973zyavi,001_eus2pey0cqjkjh,3zyavi@example.com,CTO,2023-12-25,False
003_k1bw7heq5prb56,001_pvfpzjp92uz87z,5prb56@example.com,Head of Data,2024-07-28,False
003_rvamwvoax0csdg,001_nxi9xbu1nkh5v7,x0csdg@example.com,Engineer,2024-05-26,False
003_x6g4d77fx5jf9a,001_r5ky0hy2btbvg3,x5jf9a@example.com,Director,2025-04-09,False
003_oe4m8fw7fic7wd,001_anxcfu5zxaoxwl,fic7wd@example.com,Finance Manager,2023-12-08,False
003_656s72zrw2o5ik,001_4gkew6gons2drm,w2o5ik@example.com,Finance Manager,2025-05-31,False
003_g27cu2yrohdjib,001_b8ck45lbrlb7gz,ohdjib@example.com,Director,2023-12-15,False
003_y6x3a6xmx4f99s,001_hg282igcgl5oo3,x4f99s@example.com,Engineer,2023-08-23,False
003_zrkg3f07f207vg,001_vdb00p764noxoe,f207vg@example.com,Head of Data,2024-07-05,False
003_8slvtr7u72ukj1,001_0lv87824c7npkj,72ukj1@example.com,Director,2024-11-20,False
003_0pbx0y9mnspd1c,001_x7j4v03sddvk17,nspd1c@example.com,VP Ops,2025-02-28,False
003_4bzpga91juf9qa,001_46baw26t9einq3,juf9qa@example.com,Product Lead,2025-05-09,False
003_1tu3osfc2kh8l0,001_u2ix0q1xyicq7i,2kh8l0@example.com,Head of Data,2025-07-21,False
003_5ldnefl30g6b9f,001_lekxny6s7oxtej,0g6b9f@example.com,Product Lead,2025-02-01,False
003_5atmb51t37zzrj,001_cp0it78y3g1cdb,37zzrj@example.com,Finance Manager,2024-05-10,False
003_8bb3z448bf7o0y,001_l1rmztb4z563te,bf7o0y@example.com,Product Lead,2024-05-26,False
003_tfh8pvsn3h858x,001_lik5qfi3jqomhl,3h858x@example.com,Engineer,2023-04-25,False
003_29rw76ypim9new,001_1jf3gntem53efp,im9new@example.com,VP Ops,2023-04-29,False
003_x4numf4k2wtdxg,001_vf5m3tggce9xqi,2wtdxg@example.com,Director,2023-03-25,False
003_gr14fzghkprj2a,001_4tep9dtxxop52n,kprj2a@example.com,VP Ops,2024-11-16,False
003_ack43hyixnl9vl,001_lmklw66uyv9sm0,xnl9vl@example.com,Product Lead,2025-06-03,False
003_d4l6c1jmczirno,001_lyiu97p2z5o5pu,czirno@example.com,VP Ops,2025-03-16,False
003_ak15qfsg02ch09,001_afer1ql1z5kcdi,02ch09@example.com,Engineer,2025-07-28,False
003_fo8pw8v3kse80m,001_lik5qfi3jqomhl,kse80m@example.com,Head of Data,2025-04-23,False
003_2qe3z7uksg1yx0,001_zat57f7wq5f4uh,sg1yx0@example.com,Head of Data,2023-04-29,False
003_zksmqiom5ynl98,001_ot34juum0zsn7n,5ynl98@example.com,CTO,2023-10-17,False
003_azlsnwxcoi3lk2,001_rv9chcldyllp9r,oi3lk2@example.com,Engineer,2024-05-28,False
003_qzh3ouwztprbla,001_6yo2nbo5bvlzd3,tprbla@example.com,Head of Data,2024-05-25,False
003_eahjcynk5oc6vx,001_lmklw66uyv9sm0,5oc6vx@example.com,Analyst,2024-02-16,False
003_l98jwsgn0g0l29,001_8nw6skg0793oe1,0g0l29@example.com,Director,2024-09-17,False
003_0k6hfmrjf3udfq,001_rv9chcldyllp9r,f3udfq@example.com,CTO,2025-05-08,False
003_uegtt578bzcxb9,001_0lv87824c7npkj,bzcxb9@example.com,Finance Manager,2024-06-23,False
003_19qph6cjnfezjd,001_kpmqi2mmvvepwb,nfezjd@example.com,Engineer,2024-08-21,False
003_k26secc5v2dofe,001_f802refocxo162,v2dofe@example.com,CTO,2024-10-15,False
003_hjfbuew176swmq,001_2awy4zpb7oj949,76swmq@example.com,Head of Data,2025-11-06,False
